season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end,is_home,home,away,MON
2021-22,1610612746,LAC,LA Clippers,22100235,2021-11-19,LAC @ NOP,L,48.0,10.0,2.0,11.0,48.0,9.0,15.0,15.0,42.0,0,0,0,0,117,2010,2432,1283,1031,226,1500,1614,672,1,2021,2022,False,NOP,LAC,NOV
2021-22,1610612746,LAC,LA Clippers,22100226,2021-11-18,LAC @ MEM,L,48.0,13.0,13.0,11.0,36.0,13.0,17.0,23.0,74.0,0,0,0,0,117,1595,1121,1283,2085,721,1800,2286,2447,1,2021,2022,False,MEM,LAC,NOV
2021-22,1610612746,LAC,LA Clippers,22100212,2021-11-16,LAC vs. SAS,W,48.0,17.0,6.0,10.0,40.0,22.0,8.0,23.0,56.0,0,0,0,0,117,1001,2192,1473,1790,1980,380,2286,1949,1,2021,2022,True,LAC,SAS,NOV
2021-22,1610612746,LAC,LA Clippers,22100198,2021-11-14,LAC vs. CHI,L,48.0,20.0,6.0,13.0,32.0,25.0,11.0,11.0,34.0,0,0,0,0,117,601,2192,996,2294,2230,838,989,168,1,2021,2022,True,LAC,CHI,NOV
2021-22,1610612746,LAC,LA Clippers,22100191,2021-11-13,LAC vs. MIN,W,48.0,18.0,10.0,26.0,66.0,17.0,11.0,24.0,50.0,0,0,0,0,117,845,1624,57,81,1307,838,2325,1431,1,2021,2022,True,LAC,MIN,NOV
2021-22,1610612746,LAC,LA Clippers,22100173,2021-11-11,LAC vs. MIA,W,48.0,18.0,18.0,14.0,52.0,7.0,21.0,8.0,52.0,0,0,0,0,117,845,448,848,674,105,2180,540,1630,1,2021,2022,True,LAC,MIA,NOV
2021-22,1610612746,LAC,LA Clippers,22100157,2021-11-09,LAC vs. POR,W,48.0,11.0,6.0,14.0,44.0,9.0,7.0,5.0,50.0,0,0,0,0,117,1888,2192,848,1446,226,270,202,1431,1,2021,2022,True,LAC,POR,NOV
2021-22,1610612746,LAC,LA Clippers,22100146,2021-11-07,LAC vs. CHA,W,48.0,19.0,8.0,14.0,38.0,30.0,16.0,17.0,54.0,0,0,0,0,117,709,1945,848,1955,2400,1649,1865,1788,1,2021,2022,True,LAC,CHA,NOV
2021-22,1610612746,LAC,LA Clippers,22100129,2021-11-05,LAC @ MIN,W,48.0,24.0,9.0,15.0,46.0,22.0,12.0,3.0,22.0,0,0,0,0,117,232,1795,715,1216,1980,975,85,6,1,2021,2022,False,MIN,LAC,NOV
2021-22,1610612746,LAC,LA Clippers,22100115,2021-11-03,LAC @ MIN,W,48.0,20.0,5.0,18.0,42.0,30.0,11.0,8.0,56.0,0,0,0,0,117,601,2291,412,1613,2400,838,540,1949,1,2021,2022,False,MIN,LAC,NOV
2021-22,1610612746,LAC,LA Clippers,22100102,2021-11-01,LAC vs. OKC,W,48.0,19.0,12.0,20.0,32.0,14.0,8.0,9.0,38.0,0,0,0,0,117,709,1311,270,2294,867,380,695,377,1,2021,2022,True,LAC,OKC,NOV
2021-22,1610612746,LAC,LA Clippers,22100076,2021-10-29,LAC @ POR,L,48.0,21.0,8.0,14.0,28.0,17.0,21.0,11.0,36.0,0,0,0,0,117,482,1945,848,2384,1307,2180,989,256,1,2021,2022,False,POR,LAC,OCT
2021-22,1610612746,LAC,LA Clippers,22100064,2021-10-27,LAC vs. CLE,L,48.0,15.0,3.0,10.0,34.0,19.0,19.0,16.0,48.0,0,0,0,0,117,1283,2409,1473,2206,1617,2014,1747,1246,1,2021,2022,True,LAC,CLE,OCT
2021-22,1610612746,LAC,LA Clippers,22100049,2021-10-25,LAC vs. POR,W,48.0,29.0,6.0,14.0,50.0,12.0,6.0,8.0,40.0,0,0,0,0,117,62,2192,848,832,574,171,540,507,1,2021,2022,True,LAC,POR,OCT
2021-22,1610612746,LAC,LA Clippers,22100034,2021-10-23,LAC vs. MEM,L,48.0,14.0,13.0,11.0,46.0,15.0,19.0,15.0,50.0,0,0,0,0,117,1426,1121,1283,1216,1036,2014,1614,1431,1,2021,2022,True,LAC,MEM,OCT
2021-22,1610612746,LAC,LA Clippers,22100016,2021-10-21,LAC @ GSW,L,48.0,18.0,7.0,20.0,48.0,6.0,7.0,25.0,50.0,0,0,0,0,117,845,2082,270,1031,57,270,2360,1431,1,2021,2022,False,GSW,LAC,OCT
