SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,AVAILABLE_FLAG
2015-16,1610612743,DEN,Denver Nuggets,0021501198,2016-04-10T00:00:00,DEN vs. UTA,L,48.0,0.438,0.238,0.132,0.235,0.532,0.266,0.132,0.239,0,0,0,0,155,2083,1546,888,1717,1650,1177,1560,780,1.0
2015-16,1610612762,UTA,Utah Jazz,0021501198,2016-04-10T00:00:00,UTA @ DEN,W,48.0,0.532,0.266,0.132,0.239,0.438,0.238,0.132,0.235,0,0,0,0,155,810,1281,888,1672,363,912,1560,733,1.0
2015-16,1610612763,MEM,Memphis Grizzlies,0021501190,2016-04-09T00:00:00,MEM vs. GSW,L,48.0,0.422,0.208,0.075,0.311,0.506,0.149,0.117,0.224,0,0,0,0,155,2230,1859,58,779,1276,181,1883,611,1.0
2015-16,1610612744,GSW,Golden State Warriors,0021501190,2016-04-09T00:00:00,GSW @ MEM,W,48.0,0.506,0.149,0.117,0.224,0.422,0.208,0.075,0.311,0,0,0,0,155,1180,2275,562,1836,231,598,2399,1677,1.0
2015-16,1610612758,SAC,Sacramento Kings,0021501193,2016-04-09T00:00:00,SAC vs. OKC,W,48.0,0.548,0.213,0.111,0.353,0.562,0.346,0.214,0.386,0,0,0,0,155,607,1805,428,366,1999,1884,120,2289,1.0
2015-16,1610612741,CHI,Chicago Bulls,0021501191,2016-04-09T00:00:00,CHI vs. CLE,W,48.0,0.494,0.236,0.132,0.373,0.548,0.217,0.174,0.346,0,0,0,0,155,1312,1565,888,232,1858,690,606,2030,1.0
2015-16,1610612738,BOS,Boston Celtics,0021501188,2016-04-09T00:00:00,BOS @ ATL,L,48.0,0.506,0.267,0.147,0.291,0.619,0.125,0.176,0.209,0,0,0,0,155,1200,1274,1244,1014,2358,83,566,447,1.0
2015-16,1610612740,NOP,New Orleans Pelicans,0021501189,2016-04-09T00:00:00,NOP vs. PHX,L,48.0,0.447,0.211,0.11,0.271,0.578,0.373,0.168,0.289,0,0,0,0,155,1999,1828,411,1289,2159,2064,722,1410,1.0
2015-16,1610612739,CLE,Cleveland Cavaliers,0021501191,2016-04-09T00:00:00,CLE @ CHI,L,48.0,0.548,0.217,0.174,0.346,0.494,0.236,0.132,0.373,0,0,0,0,155,597,1768,1847,426,1140,884,1560,2224,1.0
2015-16,1610612756,PHX,Phoenix Suns,0021501189,2016-04-09T00:00:00,PHX @ NOP,W,48.0,0.578,0.373,0.168,0.289,0.447,0.211,0.11,0.271,0,0,0,0,155,296,393,1728,1035,460,624,2037,1168,1.0
2015-16,1610612737,ATL,Atlanta Hawks,0021501188,2016-04-09T00:00:00,ATL vs. BOS,W,48.0,0.619,0.125,0.176,0.209,0.506,0.267,0.147,0.291,0,0,0,0,155,103,2373,1891,1998,1258,1183,1199,1436,1.0
2015-16,1610612760,OKC,Oklahoma City Thunder,0021501193,2016-04-09T00:00:00,OKC @ SAC,L,48.0,0.562,0.346,0.214,0.386,0.548,0.213,0.111,0.353,0,0,0,0,155,459,574,2336,168,1852,654,2013,2085,1.0
2015-16,1610612757,POR,Portland Trail Blazers,0021501192,2016-04-09T00:00:00,POR vs. MIN,L,48.0,0.556,0.225,0.207,0.381,0.518,0.298,0.12,0.378,0,0,0,0,155,513,1678,2278,198,1482,1500,1840,2251,1.0
2015-16,1610612750,MIN,Minnesota Timberwolves,0021501192,2016-04-09T00:00:00,MIN @ POR,W,48.0,0.518,0.298,0.12,0.378,0.556,0.225,0.207,0.381,0,0,0,0,155,974,953,611,208,1943,777,180,2262,1.0
2015-16,1610612738,BOS,Boston Celtics,0021501181,2016-04-08T00:00:00,BOS vs. MIL,W,48.0,0.603,0.487,0.146,0.205,0.53,0.345,0.204,0.313,0,0,0,0,155,159,80,1211,2040,1621,1879,205,1683,1.0
2015-16,1610612747,LAL,Los Angeles Lakers,0021501184,2016-04-08T00:00:00,LAL @ NOP,L,48.0,0.488,0.333,0.137,0.25,0.595,0.266,0.167,0.3,0,0,0,0,155,1443,635,989,1535,2255,1177,740,1532,1.0
2015-16,1610612754,IND,Indiana Pacers,0021501183,2016-04-08T00:00:00,IND @ TOR,L,48.0,0.494,0.241,0.109,0.25,0.618,0.559,0.185,0.333,0,0,0,0,155,1344,1506,382,1535,2350,2429,430,1888,1.0
2015-16,1610612765,DET,Detroit Pistons,0021501182,2016-04-08T00:00:00,DET vs. WAS,W,48.0,0.558,0.377,0.135,0.238,0.477,0.267,0.126,0.269,0,0,0,0,155,492,383,957,1682,875,1188,1690,1133,1.0
2015-16,1610612746,LAC,LA Clippers,0021501187,2016-04-08T00:00:00,LAC @ UTA,W,53.0,0.524,0.229,0.143,0.184,0.506,0.28,0.182,0.265,0,0,0,0,21,894,1647,1136,2222,1305,1335,474,1081,1.0
2015-16,1610612751,BKN,Brooklyn Nets,0021501178,2016-04-08T00:00:00,BKN @ CHA,L,48.0,0.478,0.217,0.163,0.424,0.578,0.241,0.14,0.341,0,0,0,0,155,1561,1761,1592,60,2159,945,1393,1991,1.0
2015-16,1610612752,NYK,New York Knicks,0021501180,2016-04-08T00:00:00,NYK @ PHI,W,48.0,0.495,0.33,0.098,0.302,0.429,0.396,0.089,0.258,0,0,0,0,155,1304,663,247,897,282,2168,2302,998,1.0
2015-16,1610612740,NOP,New Orleans Pelicans,0021501184,2016-04-08T00:00:00,NOP vs. LAL,W,48.0,0.595,0.266,0.167,0.3,0.488,0.333,0.137,0.25,0,0,0,0,155,203,1281,1679,907,1014,1799,1448,877,1.0
2015-16,1610612761,TOR,Toronto Raptors,0021501183,2016-04-08T00:00:00,TOR vs. IND,W,48.0,0.618,0.559,0.185,0.333,0.494,0.241,0.109,0.25,0,0,0,0,155,109,32,2023,513,1115,945,2067,877,1.0
2015-16,1610612755,PHI,Philadelphia 76ers,0021501180,2016-04-08T00:00:00,PHI vs. NYK,L,48.0,0.429,0.396,0.089,0.258,0.495,0.33,0.098,0.302,0,0,0,0,155,2170,293,158,1462,1155,1795,2206,1556,1.0
2015-16,1610612764,WAS,Washington Wizards,0021501182,2016-04-08T00:00:00,WAS @ DET,L,48.0,0.477,0.267,0.126,0.269,0.558,0.377,0.135,0.238,0,0,0,0,155,1583,1263,748,1310,1965,2076,1487,763,1.0
